,L,G,L2
1,7896.5786238535275,8267.980806347668,9356.035196007851
2,8358.938182435148,8356.303200013625,9135.904216314804
3,8736.657924927593,8377.219400189426,8725.887563248274
4,9067.696158438106,8338.438354555845,8560.797952383735
5,9424.1102578447,8370.824947958032,8566.067966649025
6,9779.39880091943,8334.859999062395,8734.916939880697
